what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1233213586069
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1233213586448
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1233213586753
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1233213587073
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233213597309
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233213599914
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233213601908
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233213602657
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1233213613121
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1233213706197
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233213731959
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233213734957
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233213740742
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1233213740752
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233213740852
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1233213753159
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233213753315
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233213773020
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233213775784
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233213776365
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233213780260
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1233213793363
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1233213795287
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233213796328
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233213799085
