what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233027489071
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233027508054
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233027513378
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233027541361
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233027551426
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233027552482
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233027552878
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233027554351
activated,view,org.python.pydev,1.4.2,org.python.pydev.navigator.view,1233027562181
opened,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233027567681
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233027567750
activated,view,org.python.pydev,1.4.2,org.python.pydev.navigator.view,1233027582305
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233027589425
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233027606535
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233027608181
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233027610590
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233027628269
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233027636879
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233027642575
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233027650697
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233027653631
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233027654519
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233027658547
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233027685297
activated,view,org.python.pydev,1.4.2,org.python.pydev.navigator.view,1233027709869
