what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1232982580274
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232982719270
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232982720345
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1232982729560
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1232982737640
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1232982761778
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232982764922
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232982765535
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1232982768367
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1232982768540
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1232982785615
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1232982789502
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1232982794483
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232982797347
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232982813361
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1232982817168
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1232982821331
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1232982835812
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1232982836568
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232982839499
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232982850027
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232982859483
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232982901711
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1232982905063
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1232982946739
