what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233139796498
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233139802467
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233139806143
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233139813544
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233139817336
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233139823049
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233139841297
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233139844296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233139856385
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233139858381
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233139861079
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233139995149
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233140009477
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233140012812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233140029455
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233140030416
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233140040813
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233140043735
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233140049285
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233140052595
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233140057248
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233140060371
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233140066727
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233140070066
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233140074480
