what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233215866263
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233215869299
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233215874339
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233215875404
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1233215896566
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1233215901961
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233215904650
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233215907880
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233215936253
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233215938530
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233215974173
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233215977893
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233215991634
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233215991640
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233215991656
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233215992696
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233215997405
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233216000960
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233216021042
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233216022143
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233216041765
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233216044771
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233216052632
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233216053689
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233216101477
