what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233007492983
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233007496841
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233007498252
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233007503493
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233007514032
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233007519802
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233007526117
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233007527309
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233008325400
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233008329310
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1233008334854
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1233008340765
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1233008341098
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1233008341437
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233008371889
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233008375524
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233008382602
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233008432308
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233008432337
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233008552839
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233008586994
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233008602759
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1233008608776
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1233008611367
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1233008614693
