what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233083337446
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233083396727
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233083406832
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233083434074
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233083435721
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233083436491
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233083439481
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233083470659
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1233083472498
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233083483481
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233083532993
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233083536072
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233083661180
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233083662501
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233083665459
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233083680846
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233083692223
opened,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233083696462
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233083696539
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233083699080
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233083987626
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233083988588
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233084980331
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233084980936
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233085016034
