what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1233214149270
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233214150071
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1233214153912
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1233214186057
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1233214187309
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1233214224568
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1233214226459
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233214292054
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233214295001
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233214303683
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1233214305112
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233214314608
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233214316459
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233214328721
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233214331395
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233214336092
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1233214337636
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233214343890
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233214346820
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233214366182
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233214366664
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233214367878
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233214369901
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233214372880
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233214401945
