what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233227016350
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233229236009
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233229240053
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233229272188
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233229273590
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233229283989
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233229287001
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233229322702
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233229323832
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233229328225
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233229331167
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233229363394
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233229364468
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233229379669
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233229382701
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233229461950
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233229464695
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233229592941
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233229595451
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233229596858
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233229599028
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233229632343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233229635816
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233229693171
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233229698238
