what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233208802214
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233208806413
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233208807257
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233208808908
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233208813105
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233208816284
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233208830374
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233208831479
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233208832169
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233208837397
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233208840446
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233208846238
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233208847628
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233208914337
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233208915598
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233208917459
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233208922399
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233208922511
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233208925196
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233208953322
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233208955246
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233208983417
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233208986565
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233208990183
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233208991242
