what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1233231892889
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233231901506
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233231905575
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1233231925124
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1233231932692
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1233231933488
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1233231936260
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1233231937722
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233231965826
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233231969571
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233231970151
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1233231973478
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233231974064
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233231995646
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233231998415
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233232005327
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233232006328
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233232009475
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233232012548
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233232042197
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233232043124
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233232047543
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233232050746
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233232055246
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233232056369
