what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233033861960
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233033864268
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233033929635
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233033945150
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233033970049
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233033973267
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233034060611
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233034064154
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233034079607
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233034082945
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233034174128
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233034188362
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233034198182
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233034201190
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233034270610
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233034273004
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233034282674
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233034319758
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233034321312
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233034326118
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233034336154
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233034339753
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233034423284
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233034428811
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233034436302
